Theta [deg],dB(rETotal) [] - Phi=0deg,dB(rETotal) [] - Phi=45deg,dB(rETotal) [] - Phi=90deg,dB(rEZ) [] - Phi=45deg
54,-13.9288949218314,-18.3907414322339,-17.365064828787,-31.4498466002305
55,-13.9872368842517,-19.1309393225929,-17.6506000616412,-33.0962118302479
56,-14.014779921843,-19.8563249453564,-17.8792288016598,-35.1105424793945
57,-14.0164050943162,-20.5516704146469,-18.0508451168873,-37.6739608626678
58,-13.9969430263707,-21.1970592713175,-18.1674034715148,-41.0255441244626
59,-13.9609447568956,-21.7683507449767,-18.2327434739336,-44.6737970604012
60,-13.9125345315017,-22.2393229267409,-18.2522371664434,-44.2284355460035
61,-13.8553347988416,-22.5858751836874,-18.2323326999752,-40.3911529482756
62,-13.7924470917498,-22.7915771494424,-18.1800770484755,-37.0812992609384
63,-13.7264712694032,-22.8524547075124,-18.1026861276639,-34.5446599474179
64,-13.6595476414535,-22.7785391519295,-18.0072038197064,-32.5454927304364
65,-13.5934099347408,-22.59126795782,-17.900263778601,-30.9182471770632
66,-13.5294406633686,-22.3182031711823,-17.7879472360892,-29.5616657460974
67,-13.4687235819596,-21.9876267891115,-17.6757187056451,-28.412226855663
68,-13.4120903158799,-21.6248091067845,-17.5684180726128,-27.4283717997245
69,-13.3601599832722,-21.250323961344,-17.4702891705087,-26.5818593834215
70,-13.3133717672197,-20.8798769137782,-17.3850288551172,-25.8529045479531
71,-13.2720111020828,-20.5249230428644,-17.3158449304656,-25.2273284493439
72,-13.236230532186,-20.1935383381988,-17.2655150635027,-24.6948189405961
73,-13.206066482633,-19.891255383245,-17.2364416856489,-24.2478313965888
74,-13.181453222087,-19.6217497869309,-17.2306998099412,-23.8808748646574
75,-13.1622352430902,-19.387357865267,-17.2500758312561,-23.5900396816957
76,-13.1481791659716,-19.1894452570737,-17.2960958921877,-23.3726825558134
77,-13.1389861039828,-19.0286566081654,-17.3700424298272,-23.2272186851487
78,-13.1343052185247,-18.9050746198978,-17.4729571656124,-23.1529900743421
79,-13.1337489490861,-18.8183110525606,-17.6056281164922,-23.1501910667845
80,-13.1369101278596,-18.7675464014372,-17.7685572191732,-23.2198395001684
81,-13.1433808922973,-18.7515303043729,-17.9619038992196,-23.3637864818952
82,-13.1527730041834,-18.7685517088202,-18.1853984610529,-23.5847602394169
83,-13.1647388918895,-18.8163865306673,-18.4382177358161,-23.8864396045406
84,-13.178992480049,-18.8922310478941,-18.718814499426,-24.2735489281695
85,-13.1953286876946,-18.9926316738128,-19.0246927947348,-24.7519545477647
86,-13.2136403899462,-19.1134260302472,-19.3521253849828,-25.3287136525702
87,-13.233931669896,-19.2497159928431,-19.6958203401574,-26.0119566559636
88,-13.2563263432481,-19.3958993965153,-20.0485657765835,-26.8103200557941
89,-13.2810710081488,-19.5457908697644,-20.4009197748526,-27.7312624318765
90,-13.3085322284349,-19.692859868542,-20.7410672723695,-28.7767155651447
91,-13.3391878581236,-19.8306008048318,-21.0550252045198,-29.9326655662814
92,-13.3736129092799,-19.9530233221325,-21.3274046116201,-31.1463816153662
93,-13.4124607072858,-20.0552127898767,-21.5428701531009,-32.2862115180307
94,-13.4564403303656,-20.1338728633377,-21.6882158567568,-33.1085622034215
95,-13.5062914738324,-20.1877411422258,-21.7546303344985,-33.3353186760484
96,-13.5627579124372,-20.2177815350516,-21.7394397343887,-32.8873920763627
97,-13.6265606718034,-20.2271054615898,-21.6466533343144,-31.9722273751922
98,-13.6983718897026,-20.2206420347549,-21.4860808592826,-30.8728812872348
99,-13.778790183202,-20.2046369039512,-21.2713893067077,-29.7773248847151
100,-13.8683181715515,-20.1860876062911,-21.0178229036939,-28.7725116637953
101,-13.967342665001,-20.1722147029916,-20.7402490458624,-27.8882041924164
102,-14.0761179362106,-20.1700343751255,-20.4518689691503,-27.1286694453308
103,-14.1947524534088,-20.1860578112094,-20.1636056404254,-26.4884202078729
104,-14.3231994727225,-20.2261098565326,-19.8839992656532,-25.9590486764071
105,-14.4612519509637,-20.2952397343012,-19.6194023887389,-25.531976528286
106,-14.608542329927,-20.3976889517359,-19.3743068449748,-25.19945724993
107,-14.7645478302635,-20.536881341584,-19.1516954952094,-24.9548566834594
108,-14.9286019406589,-20.7154029982138,-18.953362883236,-24.7926487548673
109,-15.0999127541602,-20.9349423986794,-18.7801828680226,-24.708309703999
110,-15.2775886448252,-21.1961616252511,-18.6323202488682,-24.6981856714278
111,-15.460671457794,-21.4984683012359,-18.5093923581467,-24.7593618929716
112,-15.6481768852031,-21.8396565380251,-18.4105898143262,-24.8895415044279
113,-15.8391410299344,-22.2153889608045,-18.3347659703788,-25.0869328588805
114,-16.0326713712243,-22.6185113520097,-18.2805037160007,-25.3501396372673
115,-16.2279995390187,-23.0382455038072,-18.2461670435823,-25.6780448179702
116,-16.4245326152666,-23.4594206923661,-18.2299435366809,-26.0696761946437
117,-16.6218992646034,-23.8620972861759,-18.2298827957651,-26.5240366398381
118,-16.8199869894167,-24.2221668430687,-18.2439347605486,-27.0398760445921
119,-17.0189672795664,-24.5136019531035,-18.269990849915,-27.6153735240256
120,-17.2193063652168,-24.7126428103924,-18.305929741991,-28.2476887232726
121,-17.421760557522,-24.803135949849,-18.3496684086452,-28.9323330476365
122,-17.6273565666278,-24.7809713381743,-18.3992177043051,-29.662314316079
123,-17.837358472583,-24.6553487239679,-18.4527404627238,-30.4270420802262
124,-18.0532239675323,-24.4461560232717,-18.5086088237104,-31.2110838242934
125,-18.2765529356678,-24.1789272707434,-18.5654565930941,-31.9930865875095
126,-18.509031338787,-23.8797721388655,-18.6222220381262,-32.7455451603502
127,-18.7523727716264,-23.5719101053594,-18.6781767861492,-33.4364661047449
128,-19.0082590472626,-23.2741276534002,-18.732937459176,-34.0338743529776
129,-19.278279895393,-23.0006519585526,-18.7864582223708,-34.5128819765928
130,-19.5638704165448,-22.7617661184737,-18.8390042914212,-34.8628095544678
131,-19.8662434081755,-22.5646649445882,-18.8911082924626,-35.0905063069043
132,-20.1863121039051,-22.4142787535016,-18.9435128666884,-35.2177173641195
133,-20.52459727647,-22.3139563291084,-18.9971038231686,-35.2741180085703
134,-20.8811111320172,-22.265986484424,-19.0528383792484,-35.2898211971968
135,-21.2552092096203,-22.2719744245845,-19.1116726528567,-35.2901890978191
136,-21.645401169781,-22.3330981209072,-19.1744917642628,-35.2935256627638
137,-22.0491130832863,-22.4502660586132,-19.2420448989201,-35.3108103893752
138,-22.4623997391222,-22.6241883293419,-19.3148867049311,-35.3464142809197
139,-22.8796189376314,-22.8553606357367,-19.3933256287677,-35.3991012947348
