Theta [deg],dB(rETotal) [] - Phi=0deg,dB(rETotal) [] - Phi=45deg,dB(rETotal) [] - Phi=90deg,dB(rEZ) [] - Phi=45deg
-116,-11.3049604173758,-12.6960453078528,-11.0086528948666,-13.9025040159935
-115,-10.728979028771,-13.3785829265532,-11.0640878072429,-14.9787488496601
-114,-9.97429572889278,-13.5765785759736,-11.2033616414981,-15.5863471445861
-113,-9.52989772972627,-12.9975878291353,-11.6494709081951,-14.8811977818613
-112,-9.83386566525008,-12.0238780656968,-12.5942863574363,-13.583856007948
-111,-10.9557846119902,-11.2460754138228,-13.4184087313687,-12.8205480234202
-110,-12.0612444476778,-10.9586529975954,-12.4623445836462,-13.0424705019168
-109,-11.3610814077497,-11.1443418220516,-10.3304216901912,-14.2413468954009
-108,-9.44189169434614,-11.4692590102322,-8.8247209947874,-15.6635424949794
-107,-8.03207637591965,-11.3151085164807,-8.55358075209085,-15.5887824372614
-106,-7.65563614646699,-10.37941086386,-9.59084748328549,-14.2673704154308
-105,-8.28390944876933,-9.14303271140528,-11.4976898453207,-13.4373738484456
-104,-9.45817031425696,-8.22048807540218,-12.3032967759239,-13.7378262748296
-103,-9.92173124803971,-7.91956435992578,-11.0547949605236,-14.9894988457962
-102,-8.97908368103621,-8.25504726110758,-10.0359714461316,-15.7817051638367
-101,-7.81047130593761,-8.84297657132269,-10.3015837559724,-14.5089051453021
-100,-7.28057808990642,-8.84368091065368,-11.6778463469489,-12.7231452125782
-99,-7.3904693864632,-7.98022544124125,-12.7163996343773,-11.8785289494779
-98,-7.63679500766217,-7.08634945005308,-11.8650497099173,-12.2799860498778
-97,-7.44932350364939,-6.86760144376208,-10.6103267570847,-13.8160053982129
-96,-6.89308636588637,-7.45800176045527,-10.1921675128336,-15.5263812221165
-95,-6.41190824730808,-8.38061311440652,-10.4950239835808,-15.4428261060667
-94,-6.12081629813385,-8.58446364177703,-10.8171774101685,-14.3094448778058
-93,-5.81519937268725,-7.93539444550797,-10.7877901890126,-14.0271883719601
-92,-5.42182907989525,-7.54326286713609,-10.9325208062794,-15.1054456046534
-91,-5.19969899949552,-8.09457667950098,-11.6393889011925,-17.036924911686
-90,-5.4041471874162,-9.39567788304518,-11.9481787294094,-17.7421601956627
-89,-5.91657634449073,-9.9298854290329,-10.4488873765476,-16.7801921478416
-88,-6.15557519868491,-8.73254764606422,-8.45592583273989,-16.3846835181066
-87,-5.74452382967335,-7.53587414106267,-7.42519909539023,-17.1645843003375
-86,-5.17736077830152,-7.47856900617271,-7.76678954778094,-17.9011871771331
-85,-5.05333650227285,-8.63617320535072,-9.53786449389152,-17.0725338959452
-84,-5.48812762623407,-9.86455486012231,-11.7354774886084,-16.0870467946565
-83,-6.13192738230202,-8.87738909387199,-10.8892981970427,-16.392343564268
-82,-6.43642592296571,-6.8319420328561,-8.35649960867849,-17.9303013150067
-81,-6.26395007829892,-5.64963585956331,-6.9190933993732,-18.4616723722418
-80,-5.9213260332972,-5.71818087584161,-6.96537564573932,-16.6609008519625
-79,-5.61819177661009,-6.95901548472966,-8.53289602372499,-15.2407581950159
-78,-5.43855478933144,-8.84701732762865,-11.4553094188217,-15.1550568875382
