"F [GHz]","dB(S(Port1,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port1,Port3)) []"
3.5,-18.0709095689565,-3.44207020871475,-3.4092985985184
3.525,-18.2507407866494,-3.44156313687683,-3.40878389350508
3.55,-18.4330710816706,-3.44113554780602,-3.4083515446443
3.575,-18.6186871339749,-3.44077587137909,-3.40799005929713
3.6,-18.8084311164178,-3.44047362571862,-3.40768901303109
3.625,-19.0031842768482,-3.44021968659205,-3.40743931860013
3.65,-19.2038486755663,-3.44000652609332,-3.40723346391836
3.675,-19.411326804052,-3.43982841697504,-3.40706571649807
3.7,-19.6264984966902,-3.43968160107619,-3.40693229139294
3.725,-19.8501941930248,-3.43956441964719,-3.40683148178892
3.75,-20.0831632029675,-3.43947740463176,-3.40676375015178
3.775,-20.3260350739362,-3.43942333006235,-3.40673178026666
3.8,-20.5792716803368,-3.43940722327325,-3.40674048869397
3.825,-20.8431068873011,-3.43943633664974,-3.40679699707831
3.85,-21.1174701859788,-3.43952007969811,-3.40691056515167
3.875,-21.4018901011083,-3.43966991319044,-3.40709248583746
3.9,-21.695373235756,-3.43989920642925,-3.40735594349782
3.925,-21.9962557146344,-3.44022305899991,-3.40771583746961
3.95,-22.3020265057751,-3.44065808992233,-3.40818857231891
3.975,-22.6091279687695,-3.44122219551367,-3.40879181781744
4,-22.9127494573379,-3.4419342796906,-3.40954424096879
4.025,-23.2066466556174,-3.4428139592766,-3.41046521367197
4.05,-23.4830422925446,-3.44388124887168,-3.4115744995716
4.075,-23.7326893132753,-3.44515622889197,-3.41289192461493
4.1,-23.9451936999184,-3.44665870199785,-3.41443703591803
4.125,-24.1096807489,-3.44840784312054,-3.41622875464714
4.15,-24.2158224370568,-3.45042184964485,-3.41828502796725
4.175,-24.255117776149,-3.45271759633218,-3.42062248710086
4.2,-24.2221677962114,-3.45531030261061,-3.42325611680714
4.225,-24.1155954549527,-3.45821321752147,-3.42619894278406
4.25,-23.9383132168714,-3.46143732853571,-3.42946174267886
4.275,-23.6970459121155,-3.46499109953494,-3.43305278614699
4.3,-23.4012728465619,-3.46888024259239,-3.43697760899634
