"F [GHz]","dB(S(Port1,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port1,Port3)) []"
0.85,-8.75467857863823,-3.79414883434441,-3.69215168063135
0.875,-8.83251508162556,-3.78474740954299,-3.68283683586403
0.9,-8.92176212341883,-3.77368498579466,-3.67221854843196
0.925,-9.02289724032974,-3.76102295291792,-3.66032029755443
0.95,-9.13643576972717,-3.74683482908901,-3.64717611584832
0.975,-9.26293643743597,-3.73120531948641,-3.63283096337307
1,-9.40300742795946,-3.71422942304081,-3.61734091231901
1.025,-9.55731309182252,-3.69601158293346,-3.60077314154531
1.05,-9.72658148248461,-3.67666487997857,-3.58320573464739
1.075,-9.91161295509269,-3.65631025037906,-3.56472729335009
1.1,-10.1132900991216,-3.63507571065185,-3.54543638075674
1.125,-10.3325893865661,-3.61309557143132,-3.52544080210979
1.15,-10.5705949730419,-3.59050962131079,-3.50485674330279
1.175,-10.8285152461529,-3.5674622643784,-3.48380778016696
1.2,-11.1077028842556,-3.54410160189411,-3.4624237697564
1.225,-11.4096794234169,-3.52057844668939,-3.44083964087218
1.25,-11.7361656489704,-3.49704526925144,-3.41919409622665
1.275,-12.0891196155919,-3.47365507368591,-3.39762823876923
1.3,-12.470784701119,-3.4505602101152,-3.3762841389865
1.325,-12.8837510774363,-3.42791113298012,-3.35530335446146
1.35,-13.3310353092765,-3.40585511354959,-3.33482542478543
1.375,-13.8161848447942,-3.38453492797682,-3.31498635396874
1.4,-14.3434172619555,-3.3640875367417,-3.29591710318357
1.425,-14.9178089897052,-3.34464277509336,-3.27774211639154
1.45,-15.5455560165893,-3.32632208129794,-3.26057789725598
1.475,-16.2343420021937,-3.30923728249264,-3.2445316644914
1.5,-16.9938713501875,-3.29348946511589,-3.22970010515747
1.525,-17.8366642789381,-3.27916795111726,-3.21616825145225
1.55,-18.7792848081365,-3.26634940474798,-3.20400849944948
1.575,-19.8443186240506,-3.25509708840036,-3.19327979040232
1.6,-21.0637263186858,-3.24546028341189,-3.18402697337907
1.625,-22.4849052041372,-3.2374738947395,-3.1762803566993
1.65,-24.1825928954771,-3.23115824258741,-3.17005546483437
1.675,-26.2849914753442,-3.22651905152499,-3.16535300076851
1.7,-29.040950263709,-3.22354763456504,-3.16215901776385
1.725,-33.0414236366354,-3.22222126997958,-3.16044529456319
1.75,-40.371860112401,-3.22250375801394,-3.16016990981084
1.775,-46.6932409079654,-3.22434614806269,-3.16127799868907
1.8,-35.6790841822758,-3.2276876149486,-3.16370267905816
1.825,-30.8548682970071,-3.23245646372892,-3.16736612640473
1.85,-27.8146790195124,-3.23857123762118,-3.17218077626565
1.875,-25.6124824057219,-3.24594190205421,-3.17805063055913
1.9,-23.8992832295645,-3.25447107893716,-3.18487264150144
1.925,-22.5078766836092,-3.26405529920095,-3.19253815248127
1.95,-21.3451925362145,-3.27458624946732,-3.20093436989684
1.975,-20.3540770325758,-3.28595198775198,-3.20994584501615
2,-19.4968984910019,-3.29803810421387,-3.21945594749632
2.025,-18.7475521114493,-3.31072880903292,-3.22934831421217
2.05,-18.0871794263747,-3.32390793289789,-3.23950825731785
2.075,-17.5017072025065,-3.33745982795755,-3.24982412092146
2.1,-16.9803504240392,-3.3512701635649,-3.26018857376692
2.125,-16.5146590863112,-3.36522661279294,-3.2704998284784
2.15,-16.0978877830786,-3.37921943493644,-3.28066277359094
2.175,-15.7245652247062,-3.39314195669694,-3.29059000960474
2.2,-15.3901921097922,-3.40689096726418,-3.30020277141683
2.225,-15.0910239545001,-3.42036704207477,-3.30943172370356
2.25,-14.8239116953334,-3.43347481684675,-3.31821760979033
2.275,-14.5861824866521,-3.44612323645057,-3.32651173512059
2.3,-14.3755490235569,-3.45822580808389,-3.33427626472917
2.325,-14.1900395144865,-3.46970088555367,-3.34148431510432
2.35,-14.0279427928626,-3.4804720134816,-3.34811982464021
2.375,-13.8877647151204,-3.49046835388078,-3.35417719098811
2.4,-13.7681930763223,-3.49962520848351,-3.35966067306067
2.425,-13.6680689972843,-3.50788464139831,-3.36458356651187
2.45,-13.5863633170691,-3.51519619112871,-3.36896717148726
2.475,-13.5221568424447,-3.52151764311489,-3.37283959260636
2.5,-13.474623630849,-3.52681582397196,-3.37623441472549
2.525,-13.4430166434543,-3.53106735902956,-3.37918931881906
2.55,-13.4266552725129,-3.53425933209015,-3.38174470189439
2.575,-13.4249143534094,-3.5363897809953,-3.38394236949359
2.6,-13.4372143561603,-3.53746796867426,-3.38582436336768
