
Terminating impedances in Ohms.
 No. 1 port: Zc = (200.000,   0.000)
 No. 2 port: Zc = (100.000,   0.000)

dB(Sij) in dB and Ang(Sij) in degree.

                                       

Freq[GHz]    dB[S(1,1)]   dB[S(2,1)]   
8.72         -29.64       -0.3512      
8.74         -28.54       -0.3738      
8.76         -24.31       -0.4639      
8.78         -10.91       0.1516       
8.8          -26.21       -0.3838      
8.82         -31.6        -0.3242      
8.84         -32.69       -0.3163      
8.86         -31.81       -0.3153      
8.88         -30.47       -0.3161      
8.9          -29.17       -0.3175      
8.92         -28.03       -0.3192      
8.94         -27.04       -0.321       
8.96         -26.18       -0.323       
8.98         -25.45       -0.3249      
9.           -24.83       -0.3268      
9.02         -24.3        -0.3287      
9.04         -23.86       -0.3304      
9.06         -23.5        -0.3319      
9.08         -23.21       -0.3331      
9.1          -23.         -0.3341      
9.12         -22.85       -0.3348      
9.14         -22.76       -0.3351      
9.16         -22.74       -0.3351      
9.18         -22.78       -0.3348      
9.2          -22.88       -0.3342      
9.22         -23.05       -0.3333      
9.24         -23.28       -0.3323      
9.26         -23.57       -0.3311      
9.28         -23.93       -0.3299      
9.3          -24.34       -0.3286      
9.32         -24.82       -0.3274      
9.34         -25.36       -0.3263      
9.36         -25.95       -0.3252      
9.38         -26.56       -0.324       
9.4          -27.19       -0.3225      
9.42         -27.79       -0.3205      
9.44         -28.31       -0.3177      
9.46         -28.66       -0.314       
9.48         -28.75       -0.3095      
9.5          -28.5        -0.3048      
9.52         -27.89       -0.3009      
9.54         -27.         -0.2989      
9.56         -25.95       -0.2998      
9.58         -24.86       -0.3043      
9.6          -23.82       -0.3126      
9.62         -22.86       -0.3244      
9.64         -22.01       -0.3389      
9.66         -21.26       -0.3555      
9.68         -20.61       -0.3736      
9.7          -20.04       -0.3927      
9.72         -19.56       -0.4129      
9.74         -19.15       -0.4346      
9.76         -18.81       -0.4588      
9.78         -18.54       -0.4875      
9.8          -18.34       -0.5252      
9.82         -18.24       -0.5817      
9.84         -18.3        -0.6828      
9.86         -18.77       -0.9024      
9.88         -19.61       -1.117       
9.9          -17.89       -0.4953      
9.92         -17.39       -0.3347      
9.94         -17.36       -0.3253      
9.96         -17.44       -0.3337      
9.98         -17.58       -0.342       
10.          -17.76       -0.3478      
10.02        -18.         -0.3509      
10.04        -18.28       -0.3516      
10.06        -18.61       -0.3501      
10.08        -19.01       -0.3469      
10.1         -19.46       -0.3422      
10.12        -19.99       -0.3364      
10.14        -20.6        -0.3298      
10.16        -21.29       -0.3228      
10.18        -22.08       -0.3159      
10.2         -22.98       -0.3091      
10.22        -24.         -0.3028      
10.24        -25.15       -0.2968      
10.26        -26.46       -0.291       
10.28        -27.95       -0.2854      
10.3         -29.66       -0.2801      
10.32        -31.6        -0.2753      
10.34        -33.65       -0.2713      
10.36        -35.34       -0.2684      
10.38        -35.71       -0.2666      
10.4         -34.57       -0.2662      
10.42        -32.84       -0.2669      
10.44        -31.16       -0.2685      
10.46        -29.72       -0.2709      
10.48        -28.52       -0.2737      
10.5         -27.54       -0.2766      
10.52        -26.75       -0.2795      
10.54        -26.12       -0.2819      
10.56        -25.62       -0.2839      
10.58        -25.26       -0.2852      
10.6         -25.         -0.2856      
10.62        -24.85       -0.2852      
10.64        -24.81       -0.284       
10.66        -24.87       -0.2819      
10.68        -25.02       -0.2792      
10.7         -25.28       -0.2761      
10.72        -25.62       -0.2729      
10.74        -26.03       -0.2704      
10.76        -26.47       -0.2698      
10.78        -26.79       -0.2733      
10.8         -26.61       -0.287       
10.82        -25.05       -0.3334      
10.84        -20.43       -0.5652      
10.86        -16.94       -1.243       
10.88        -24.36       -0.4329      
10.9         -29.54       -0.3051      
10.92        -33.15       -0.2783      
10.94        -34.25       -0.2709      
10.96        -32.44       -0.2685      
10.98        -29.72       -0.2674      
11.          -27.13       -0.2661      
