Trace
Swept SA
A.16.17,N9010A
1531200000,-84.9740642155762
1536900000,-86.7627692009064
1542600000,-81.840249139658
1548300000,-89.5555189099439
1554000000,-89.2992738340331
1559700000,-74.3903217674573
1565400000,-89.9887594049012
1571100000,-87.6781856497783
1576800000,-90.9301779482979
1582500000,-89.1333254595345
1588200000,-84.0526499195039
1593900000,-87.6460058084436
1599600000,-84.7675620512353
1605300000,-90.3721709819832
1611000000,-79.053767784816
1616700000,-85.991474040923
1622400000,-88.6818095615605
1628100000,-88.2860256408636
1633800000,-88.5842318369573
1639500000,-82.3417838725466
1645200000,-82.3724733405124
1650900000,-84.6585217587121
1656600000,-84.6840803902269
1662300000,-83.8146790177218
1668000000,-86.8668343957628
1673700000,-86.6874270029268
1679400000,-82.0023155939514
1685100000,-83.8474907623421
1690800000,-83.7302967902606
1696500000,-88.1919487536606
1702200000,-86.9601590853077
1707900000,-93.6284379530701
1713600000,-92.8034681784109
1719300000,-91.7824151024184
1725000000,-92.837919823776
1730700000,-90.6274657052823
1736400000,-91.7032801364029
1742100000,-96.8502940071062
1747800000,-82.8678319453495
1753500000,-94.0062897289995
1759200000,-83.7401125059692
1764900000,-89.6088504194676
1770600000,-92.192277707517
1776300000,-85.0855571923912
1782000000,-92.5760822375371
1787700000,-89.5031324493885
1793400000,-90.8379939684558
1799100000,-84.1504499416308
1804800000,-94.4735122954793
1810500000,-82.979531058476
1816200000,-92.9185428908981
1821900000,-84.9438806142786
1827600000,-86.4290035154951
1833300000,-95.2015796421633
1839000000,-93.138451769563
1844700000,-95.9643244710093
1850400000,-94.3704191400191
1856100000,-91.9415722268781
1861800000,-88.9717664002019
1867500000,-88.6583973134143
1873200000,-90.4161807370336
1878900000,-96.0542252696257
1884600000,-96.0715698711281
1890300000,-90.9819968488261
1896000000,-94.7872181933481
1901700000,-84.6559066818868
1907400000,-87.3201410865257
1913100000,-95.2817389698523
1918800000,-91.6728676192038
1924500000,-90.3397806665912
1930200000,-86.00283886147
1935900000,-83.8367755174429
1941600000,-92.7257968198424
1947300000,-85.7121373370229
1953000000,-93.9309956961961
1958700000,-87.3639138429671
1964400000,-94.3716981955313
1970100000,-95.5156700979785
1975800000,-89.4727433724052
1981500000,-93.4540023875765
1987200000,-89.9234833780959
1992900000,-96.2628782065569
1998600000,-82.3248007124366
2004300000,-94.4823175193491
2010000000,-92.833052452699
2015700000,-93.6988964511106
2021400000,-94.4877946855178
2027100000,-73.1596753788026
2032800000,-84.1146553989647
2038500000,-96.0403837665297
2044200000,-96.6000615734515
2049900000,-93.5202206421271
2055600000,-96.9300995666354
2061300000,-51.4188498919036
2067000000,-98.7992843579392
2072700000,-93.6131127017123
2078400000,-94.0930608847654
2084100000,-98.781154661108
2089800000,-94.2416982899297
2095500000,-97.0164643195926
2101200000,-96.6299446234356
2106900000,-97.9886938244838
2112600000,-89.0045085086557
2118300000,-95.936132596092
2124000000,-84.5508047247292
2129700000,-92.9071516819046
2135400000,-97.8491016459084
2141100000,-91.7757628236648
2146800000,-97.1524414595757
2152500000,-81.1446874980043
2158200000,-93.5590081672787
2163900000,-99.2532864479035
2169600000,-86.9672665667663
2175300000,-95.9489464633792
2181000000,-94.8196849418563
2186700000,-71.9818424349776
2192400000,-89.6941748103954
2198100000,-93.0734661652814
2203800000,-97.7716095382812
2209500000,-95.9812326352355
2215200000,-97.6547802696791
2220900000,-94.01383581031
2226600000,-95.264292341867
2232300000,-90.1695287575555
2238000000,-93.8213633872404
2243700000,-95.8712726146056
2249400000,-87.3989425254785
2255100000,-94.8082819450006
2260800000,-95.0356252034719
2266500000,-98.7592822646382
2272200000,-95.9667807341036
2277900000,-95.0691741907425
2283600000,-97.5287611610737
