Trace
Swept SA
A.16.17,N9010A
2021400000,-97.7377847264553
2027100000,-79.1932116362886
2032800000,-77.9292674193503
2038500000,-92.1345228310251
2044200000,-98.8811802348452
2049900000,-90.662871818838
2055600000,-98.7045343498083
2061300000,-69.7338333201848
2067000000,-98.4632060501403
2072700000,-99.1286318780449
2078400000,-97.3652132470824
2084100000,-99.0389238379027
2089800000,-99.4577426637138
2095500000,-99.0953701295987
2101200000,-95.3476455321679
2106900000,-99.6430987791426
2112600000,-100.043594176899
2118300000,-100.078067613735
2124000000,-90.8587664843308
2129700000,-98.1162807997377
2135400000,-100.481527976967
2141100000,-100.112720640691
2146800000,-98.5894944359383
2152500000,-85.4132764975537
2158200000,-99.4673755803297
2163900000,-100.2010378959
2169600000,-100.343071352585
2175300000,-99.9362089726508
2181000000,-99.6816444315889
2186700000,-81.3646723670179
2192400000,-97.812820537221
2198100000,-99.7535967616501
2203800000,-100.560294942134
2209500000,-99.5711085265945
2215200000,-99.5791599865299
2220900000,-99.3490815970726
2226600000,-100.301477820219
2232300000,-100.374075322567
2238000000,-99.2493629506058
2243700000,-99.7466684148812
2249400000,-90.263508744346
2255100000,-97.3601811192408
2260800000,-99.7834650676935
2266500000,-100.108030402971
2272200000,-99.7435665691609
2277900000,-100.356535081084
2283600000,-98.8817813136908
2289300000,-99.5819240451793
2295000000,-99.5947961327851
2300700000,-89.7201800653004
2306400000,-99.150785216545
2312100000,-96.6275396413812
2317800000,-99.4110100704023
2323500000,-100.190468823436
2329200000,-99.1807880826397
2334900000,-99.3040203915379
2340600000,-98.7574022649627
2346300000,-90.2066295524601
2352000000,-97.8742450020435
2357700000,-99.1737765046971
2363400000,-93.8968172603636
2369100000,-99.4702645671161
2374800000,-95.8740219382594
2380500000,-99.34660174251
2386200000,-98.8103458207841
2391900000,-98.3458477580232
2397600000,-82.2780638959744
2403300000,-98.9499309473928
2409000000,-98.5671766516463
2414700000,-98.825822825038
2420400000,-97.9813857330093
2426100000,-98.7670864379262
2431800000,-99.4407345284637
2437500000,-98.874745128184
2443200000,-98.8275812749873
2448900000,-98.9665569734481
2454600000,-99.4574166868233
2460300000,-98.9681527657716
2466000000,-99.5985666373607
2471700000,-99.0081150224719
2477400000,-99.3151515122906
2483100000,-99.1833327670786
2488800000,-99.9126994006917
2494500000,-98.7927459887459
2500200000,-64.0798933447224
2505900000,-99.4485112023387
2511600000,-99.3970613923623
2517300000,-97.4569821813468
2523000000,-100.353214258319
2528700000,-99.3988970262434
2534400000,-100.460617077515
2540100000,-100.024758611822
2545800000,-100.185755243386
2551500000,-100.53329634824
2557200000,-100.244321663971
2562900000,-95.8878690944858
2568600000,-100.360943792809
2574300000,-100.344821704867
2580000000,-91.2826157780616
2585700000,-100.269795696215
2591400000,-99.7980208428328
2597100000,-100.293360776361
2602800000,-98.6305674800688
2608500000,-99.9820859559431
2614200000,-100.111819469895
2619900000,-101.147562576991
2625600000,-86.7676999363844
2631300000,-100.6957197509
2637000000,-99.933350874009
2642700000,-88.4051285733086
2648400000,-99.9909004812163
2654100000,-83.0613356626077
2659800000,-101.108462891061
2665500000,-100.696425738998
2671200000,-100.853960415541
2676900000,-100.800498870852
2682600000,-101.434960443568
2688300000,-89.3254530255142
2694000000,-100.444701805886
2699700000,-101.258057543352
2705400000,-100.496926995455
2711100000,-101.846230044471
2716800000,-100.622997453085
2722500000,-100.892578716373
2728200000,-99.8816165321093
2733900000,-100.672242857363
2739600000,-100.925504981815
2745300000,-101.283188468414
2751000000,-89.5182897693797
2756700000,-99.955248537758
2762400000,-101.197413470872
2768100000,-100.575940907441
2773800000,-100.812038679606
2779500000,-101.102278074825
2785200000,-101.266574412372
2790900000,-100.590852438297
2796600000,-101.120747200204
2802300000,-82.416740739279
2808000000,-100.659284019526
2813700000,-87.4048380663814
2819400000,-101.172367745853
2825100000,-100.963017673313
2830800000,-100.583218834268
2836500000,-101.053355237772
2842200000,-98.5693750924084
2847900000,-100.479808558868
2853600000,-100.842071310766
2859300000,-100.077566864963
2865000000,-100.611074563899
2870700000,-100.745063959993
2876400000,-76.7773232772577
2882100000,-87.244825851222
2887800000,-100.202133129581
2893500000,-100.260048261039
2899200000,-100.148077060572
2904900000,-100.808810413068
2910600000,-99.6859748699932
2916300000,-100.69965675674
2922000000,-99.8861800836538
2927700000,-100.854666916664
2933400000,-101.212260219322
2939100000,-91.1936031480253
2944800000,-99.7530928365966
2950500000,-99.560217753836
2956200000,-100.632068484481
2961900000,-101.093673449007
2967600000,-89.5355152952177
2973300000,-100.133833862473
2979000000,-100.401696112573
2984700000,-100.505083727437
2990400000,-100.08180307937
2996100000,-100.996393312019
3001800000,-76.7369085591911
3007500000,-100.498181103489
3013200000,-99.4281998981738
3018900000,-101.318317166502
3024600000,-99.9765887395572
3030300000,-100.103040966247
3036000000,-100.824338076125
3041700000,-100.946045305004
3047400000,-100.822505683351
3053100000,-100.929351115102
3058800000,-100.841605240704
3064500000,-95.8695043922963
3070200000,-100.742183164588
3075900000,-100.814286862181
3081600000,-100.444541960205
3087300000,-50.503988952247
3093000000,-98.2845301681045
3098700000,-95.6014331676671
3104400000,-100.886867094364
3110100000,-99.9226696271201
3115800000,-101.666210127593
3121500000,-101.38134079277
3127200000,-85.5019927335903
3132900000,-100.620416552053
3138600000,-100.774399267267
3144300000,-101.591875966473
3150000000,-101.565631378643
3155700000,-101.429174375642
3161400000,-100.915643074848
3167100000,-101.809465524461
3172800000,-101.885388604023
3178500000,-100.879797893008
3184200000,-102.032756567273
3189900000,-101.093924011412
3195600000,-101.507268903163
3201300000,-93.8992850536592
3207000000,-101.331990555178
3212700000,-101.207575650547
3218400000,-100.998101458006
3224100000,-100.744258480248
3229800000,-101.676418964392
3235500000,-101.507870887465
3241200000,-102.09075423071
3246900000,-102.099886229564
3252600000,-92.0457986571377
3258300000,-101.488971759563
3264000000,-101.23720839759
3269700000,-102.418470029611
3275400000,-101.736968749427
3281100000,-89.1780099014215
3286800000,-101.923251885032
3292500000,-102.125629557106
3298200000,-102.358352900187
3303900000,-101.642070608715
3309600000,-101.554143083641
3315300000,-102.380628890063
3321000000,-101.861477161599
3326700000,-102.870379958287
3332400000,-102.904202054842
3338100000,-101.98278568681
3343800000,-102.509925910581
3349500000,-102.383811100139
3355200000,-102.007793137037
3360900000,-100.222991558145
3366600000,-102.012543467572
3372300000,-102.305330470816
3378000000,-102.979391540682
3383700000,-102.353261812167
3389400000,-102.57431343292
3395100000,-102.72884954225
3400800000,-93.8007156885534
3406500000,-102.947914236312
3412200000,-102.924091160296
3417900000,-102.926700583427
3423600000,-102.696152499909
3429300000,-102.722747488354
3435000000,-93.0239407301989
3440700000,-102.483348781056
3446400000,-102.707927098459
3452100000,-103.049186765778
3457800000,-102.388652348264
3463500000,-102.222994980628
3469200000,-102.441134746474
3474900000,-103.019379062609
3480600000,-102.462693370341
3486300000,-102.95551956821
3492000000,-102.740687748548
3497700000,-57.5113958052715
3503400000,-102.932472996354
3509100000,-103.089207743356
3514800000,-102.65897034779
3520500000,-102.230655696737
3526200000,-101.987793886146
3531900000,-101.988476402066
3537600000,-102.499097082256
3543300000,-102.765768275469
3549000000,-102.924444843364
3554700000,-102.189608213914
3560400000,-102.711628493366
3566100000,-102.820178486734
3571800000,-101.888636840131
3577500000,-102.443342087213
3583200000,-102.389124537784
3588900000,-102.827990512431
3594600000,-93.8958773497923
3600300000,-90.4159180599354
3606000000,-100.374608339686
3611700000,-102.98270005534
3617400000,-101.894249324174
3623100000,-101.056255735405
3628800000,-101.956051932343
3634500000,-102.441311274768
3640200000,-102.39843495018
3645900000,-101.962133349002
3651600000,-102.580239807078
3657300000,-101.949717319128
3663000000,-102.344992768982
3668700000,-102.041296652143
3674400000,-102.450581465597
3680100000,-102.219557989768
3685800000,-101.893971991993
3691500000,-102.297740347734
3697200000,-102.327315867468
3702900000,-102.713707199838
3708600000,-102.350236131418
3714300000,-102.352735125806
3720000000,-103.143570379446
3725700000,-103.023400599745
3731400000,-102.930455940602
3737100000,-102.410500017862
3742800000,-102.510597118156
3748500000,-90.0104139622584
3754200000,-103.66967994301
3759900000,-103.629575111055
3765600000,-103.394505138789
3771300000,-103.315196709768
3777000000,-102.376570936987
3782700000,-103.723349388785
3788400000,-103.336225201392
3794100000,-103.030884962587
3799800000,-103.538510317465
3805500000,-103.377205937757
3811200000,-103.190823691579
3816900000,-103.68636723579
3822600000,-102.805564379585
3828300000,-101.943117017196
3834000000,-103.14056197304
3839700000,-94.575014838066
3845400000,-103.626713122762
3851100000,-103.767012855566
3856800000,-104.325114839231
3862500000,-103.447342591779
3868200000,-97.8080305415305
3873900000,-103.408960266336
3879600000,-103.177205201947
3885300000,-103.655761413263
3891000000,-103.505168629733
3896700000,-103.108354048478
3902400000,-102.900221950128
3908100000,-91.493564095204
3913800000,-103.7703678037
3919500000,-103.130359240182
3925200000,-103.341087307247
3930900000,-104.289007366774
3936600000,-101.404415383621
3942300000,-103.804996533694
3948000000,-103.013100056637
3953700000,-103.3746846022
3959400000,-103.022856750788
3965100000,-102.814208121998
3970800000,-104.139923961105
3976500000,-103.267174026488
3982200000,-103.369599208313
3987900000,-103.382050692621
3993600000,-103.385162866758
3999300000,-72.9566109123059
4005000000,-103.670969558848
4010700000,-103.205903494414
4016400000,-103.404306914679
4022100000,-103.591240940795
4027800000,-102.639149423533
4033500000,-103.409693496408
4039200000,-103.41496084701
4044900000,-103.864081565144
4050600000,-103.501498211013
4056300000,-103.763764895309
4062000000,-98.1197475214198
4067700000,-103.23921909891
4073400000,-103.522404952083
4079100000,-104.324096996954
4084800000,-103.073787319724
4090500000,-103.534952350955
4096200000,-103.70524231633
4101900000,-103.346649718196
4107600000,-103.821619696686
4113300000,-103.93755474199
4119000000,-76.4916184730918
4124700000,-96.3672146870741
4130400000,-103.741488752593
4136100000,-103.845730462942
4141800000,-102.380694601594
4147500000,-103.968549344302
4153200000,-103.525123423205
4158900000,-104.368402775805
4164600000,-103.227133222116
4170300000,-103.440186768039
4176000000,-100.725504660208
4181700000,-103.860458498276
4187400000,-87.7366517436357
4193100000,-103.599721966138
4198800000,-104.115921866805
4204500000,-102.925500349732
4210200000,-103.945105795931
4215900000,-91.2656222234144
4221600000,-103.075209268544
4227300000,-103.969668139586
4233000000,-103.920212616524
4238700000,-104.324345957354
4244400000,-103.839405590154
4250100000,-92.3389123920011
4255800000,-104.409648127946
4261500000,-103.525928098054
4267200000,-104.08401984379
4272900000,-103.856824839393
4278600000,-103.639032796933
4284300000,-104.287134561205
4290000000,-103.896962628476
4295700000,-103.41525199086
4301400000,-103.953451321506
4307100000,-104.522774236683
4312800000,-83.7929510756604
4318500000,-104.206306371636
4324200000,-103.42324841506
4329900000,-104.342472077162
4335600000,-104.622480424752
4341300000,-104.499944189503
4347000000,-103.284274812172
4352700000,-104.075750005318
4358400000,-103.503633026943
4364100000,-104.425292668364
4369800000,-104.378169745217
4375500000,-92.8364680953048
4381200000,-104.20365687784
4386900000,-104.723122756496
4392600000,-104.219083741575
4398300000,-103.300640760555
4404000000,-104.292746423836
4409700000,-104.529830951174
4415400000,-104.857039707227
4421100000,-104.008692260809
4426800000,-104.873645522734
4432500000,-104.690277938868
4438200000,-85.1125264035586
