Trace
Swept SA
A.16.17,N9010A
2067000000,-83.3656794598845
2072700000,-79.8016340405425
2078400000,-78.4742140867323
2084100000,-80.7199247654879
2089800000,-74.8876492875962
2095500000,-82.1916747471689
2101200000,-74.5519594390338
2106900000,-75.6205997482003
2112600000,-74.1571205649697
2118300000,-77.137604642407
2124000000,-75.7258804995914
2129700000,-78.0524656338978
2135400000,-83.957924926838
2141100000,-78.9969394869837
2146800000,-76.4372228582014
2152500000,-78.5923107893414
2158200000,-82.1031109291088
2163900000,-81.8346058597335
2169600000,-80.0905638691458
2175300000,-84.9038749607902
2181000000,-81.9074237765131
2186700000,-68.5551264108598
2192400000,-80.8101726970165
2198100000,-76.6507876806049
2203800000,-75.0150352283152
2209500000,-80.5963538027714
2215200000,-78.8647066185705
2220900000,-73.2937195871758
2226600000,-80.1821205419355
2232300000,-82.9598238339438
2238000000,-76.7060252499729
2243700000,-75.5742213423832
2249400000,-69.1786045223918
2255100000,-77.8879306453479
2260800000,-78.3981932667807
2266500000,-74.3122953791073
2272200000,-76.444589097708
2277900000,-79.8501484926249
2283600000,-75.8362043221401
2289300000,-75.9940537944644
2295000000,-77.5137670870762
2300700000,-77.9911653070784
2306400000,-74.0245732843763
2312100000,-77.1037937307205
2317800000,-75.4240271835612
2323500000,-75.9267224005221
2329200000,-76.1320970549181
2334900000,-77.2127247433957
2340600000,-77.3475244886352
2346300000,-65.2542156844645
2352000000,-77.7713607515631
2357700000,-77.0760950432977
2363400000,-73.9768012554195
2369100000,-73.3681505048514
2374800000,-73.3949672050085
2380500000,-72.224839724927
2386200000,-72.3739953054115
2391900000,-71.5606450018047
2397600000,-61.9453649413616
2403300000,-72.6356350476766
2409000000,-70.5496409488757
2414700000,-72.9252697230176
2420400000,-71.3939290210178
2426100000,-72.3960940531019
2431800000,-74.0473759361103
2437500000,-72.4935490838615
2443200000,-74.4972574080496
2448900000,-73.4240840868117
2454600000,-76.4273601443511
2460300000,-71.7484761477038
2466000000,-70.5676766405563
2471700000,-74.1428424922511
2477400000,-76.8694077931077
2483100000,-75.545604345741
2488800000,-76.8031695888114
2494500000,-78.9226817266782
2500200000,-44.2347386626338
2505900000,-74.2443353821709
2511600000,-74.1363490932829
2517300000,-73.1754196606747
2523000000,-75.1990616834627
2528700000,-76.4878157498906
2534400000,-73.2410827865125
2540100000,-71.4625754105939
2545800000,-72.3229946033129
2551500000,-77.0560938959144
2557200000,-76.2686662098529
2562900000,-76.8603559667882
2568600000,-75.7888947253925
2574300000,-75.2834145552819
2580000000,-72.3594205489829
2585700000,-77.2705553621581
2591400000,-77.8934580700977
