Trace
Swept SA
A.16.17,N9010A
1525500000,-97.8968192932501
1531200000,-97.4962650614986
1536900000,-97.3438395441489
1542600000,-97.7159610659573
1548300000,-97.6598072005317
1554000000,-97.8782027397451
1559700000,-97.8025354397253
1565400000,-97.5446101857376
1571100000,-96.914061587991
1576800000,-97.4937038984466
1582500000,-97.7458547421856
1588200000,-97.7984861345195
1593900000,-96.7806754660123
1599600000,-96.969086562024
1605300000,-97.49616440126
1611000000,-96.9780799966736
1616700000,-97.1382136221336
1622400000,-96.8751337916888
1628100000,-96.2070372459128
1633800000,-97.3899399285405
1639500000,-96.593564133417
1645200000,-97.3468614835323
1650900000,-96.6495504803138
1656600000,-97.0675835186587
1662300000,-96.8635102207912
1668000000,-97.0492991550406
1673700000,-96.8369859639923
1679400000,-97.2772165933872
1685100000,-96.9223405957197
1690800000,-96.8474873539574
1696500000,-97.2116423619529
1702200000,-97.7830253604014
1707900000,-97.8024399799333
1713600000,-97.1978208770981
1719300000,-98.1935057781463
1725000000,-97.8821206149836
1730700000,-98.5519266933579
1736400000,-98.0740628631969
1742100000,-98.3066392678818
1747800000,-98.3391430554579
1753500000,-98.8086938611778
1759200000,-98.058097790494
1764900000,-98.5802388436599
1770600000,-98.3370307289706
1776300000,-97.9294722799676
1782000000,-98.5861223662501
1787700000,-98.2732500929161
1793400000,-98.0734370533059
1799100000,-98.0863710787396
1804800000,-97.8241940286886
1810500000,-98.2948406793604
1816200000,-98.5867576404345
1821900000,-97.7788480556671
1827600000,-97.8741995304491
1833300000,-98.0353397917047
1839000000,-97.692019842751
1844700000,-97.2795403033882
1850400000,-96.9721532594212
1856100000,-97.2797629588656
1861800000,-97.5712568217631
1867500000,-97.780558856285
1873200000,-97.43872839025
1878900000,-97.1493581173902
1884600000,-97.1893448112905
1890300000,-97.1623899868286
1896000000,-97.631728876953
1901700000,-97.6820552641671
1907400000,-97.647794553259
1913100000,-97.3794248047384
1918800000,-96.2026402037504
1924500000,-97.4573365649225
1930200000,-96.8780412393395
1935900000,-97.3653709881808
1941600000,-96.6550465186655
1947300000,-97.5022108512747
1953000000,-97.2648814587345
1958700000,-98.0809551486624
1964400000,-97.471014937343
1970100000,-97.1225651339528
1975800000,-97.6719418352165
1981500000,-97.0860266069694
1987200000,-97.315413017535
1992900000,-98.4232612291517
1998600000,-97.1139525106344
2004300000,-98.169794896185
2010000000,-98.1961482524585
2015700000,-97.6580276361165
2021400000,-98.6629513850938
2027100000,-98.7693848411931
2032800000,-97.3199888952303
2038500000,-98.575066021884
2044200000,-99.2471888231269
2049900000,-98.6480505412456
2055600000,-98.7639916074754
2061300000,-98.5355723439375
2067000000,-99.0543016372917
2072700000,-98.7629555551203
2078400000,-99.3974902484631
2084100000,-99.9437019813859
2089800000,-99.6709572908352
2095500000,-99.2528786932366
2101200000,-99.2161085736902
2106900000,-99.7526690223802
2112600000,-100.235862919324
2118300000,-99.6938471639332
2124000000,-99.9167050699841
2129700000,-99.5546730436885
2135400000,-99.0703358903122
2141100000,-100.088346785755
2146800000,-100.29357177531
2152500000,-100.028019943542
2158200000,-99.1970829708632
2163900000,-99.2674501160477
2169600000,-100.37683735616
2175300000,-100.543988447389
2181000000,-100.446110598913
2186700000,-99.6728159800553
2192400000,-99.7271745782776
2198100000,-99.0404763142752
2203800000,-100.202165551281
2209500000,-99.1650824582964
2215200000,-99.9041399298358
2220900000,-99.4525574869669
2226600000,-100.702178196528
2232300000,-99.7118831195031
2238000000,-100.728342059119
2243700000,-99.8293516613011
2249400000,-100.338672786514
2255100000,-100.068373492782
2260800000,-99.8425472556462
2266500000,-100.056027595824
2272200000,-100.785218278529
2277900000,-100.244828980161
2283600000,-99.4849082760417
2289300000,-99.8129535918377
2295000000,-99.5090689337575
2300700000,-99.9643875663244
2306400000,-100.18724457686
2312100000,-100.306953638086
2317800000,-99.7615197018016
2323500000,-99.9144021188458
2329200000,-100.117784553029
2334900000,-99.367885384596
2340600000,-98.9951508747402
2346300000,-99.3676820344737
2352000000,-98.5274988510579
2357700000,-99.0096246738821
2363400000,-99.4511858713826
2369100000,-99.0902943252018
2374800000,-99.0589606004081
2380500000,-99.5942837945467
2386200000,-99.4145061324141
2391900000,-98.734079377857
2397600000,-98.7920791376969
2403300000,-99.6822734324973
2409000000,-99.7807065923178
2414700000,-98.761431980866
2420400000,-99.6915403054519
2426100000,-99.6505280453183
2431800000,-99.3032091564621
2437500000,-98.8834466722671
2443200000,-99.7340321792178
2448900000,-98.6119915910324
2454600000,-99.7900460324554
2460300000,-98.065005584195
2466000000,-98.7730088950984
2471700000,-98.8082752025391
